대림방면,문래/도림천방면,대림방면,문래/도림천방면
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,18:56,20:23,20:11
-,성수성수(내선),성수성수(외선),신도림까치산
-,18:59,20:29,20:12
-,신도림까치산,성수성수(외선),성수성수(내선)
-,18:59,20:35,20:17
-,성수성수(내선),성수성수(외선),성수성수(내선)
19:02,19:02,20:41,20:20
성수성수,성수성수(내선),성수성수(외선),신도림까치산
19:06,19:04,20:47,20:23
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
19:10,19:06,20:53,20:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
19:14,19:08,20:59,20:32
성수성수(외선),성수성수(내선),성수성수(외선),신도림까치산
19:18,19:09,-,20:35
성수성수,신도림까치산,-,성수성수(내선)
19:21,19:11,-,20:40
성수성수(외선),성수성수(내선),-,신도림까치산
19:30,19:16,-,20:40
성수성수,성수성수(내선),-,성수성수(내선)
19:33,19:19,-,20:46
성수성수(외선),신도림까치산,-,성수성수(내선)
19:39,19:20,-,20:49
성수성수(외선),성수성수,-,신도림까치산
19:43,19:23,-,20:52
성수성수(외선),성수성수(내선),-,성수성수(내선)
19:50,19:26,-,20:58
성수성수(외선),성수성수(내선),-,성수성수(내선)
19:54,19:29,21:05,21:00
성수성수(외선),신도림까치산,성수성수(외선),신도림까치산
-,19:29,21:11,21:06
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,19:32,21:17,21:10
-,성수성수(내선),성수성수(외선),신도림까치산
-,19:35,21:23,21:13
-,성수성수,성수성수(외선),성수성수(내선)
-,19:39,21:30,21:19
-,신도림까치산,성수성수(외선),성수성수(내선)
-,19:39,21:36,21:20
-,성수성수(내선),성수성수(외선),신도림까치산
-,19:44,21:42,21:26
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,19:48,21:47,21:32
-,성수성수(내선),성수성수,신도림까치산
-,19:49,21:52,21:32
-,신도림까치산,성수성수(외선),성수성수(내선)
-,19:53,21:58,21:41
-,성수성수(내선),성수성수(외선),성수성수(내선)
-,19:55,-,21:44
-,성수성수,-,신도림까치산
-,19:58,-,21:47
-,성수성수(내선),-,성수성수(내선)
20:01,20:00,-,21:53
성수성수(외선),신도림까치산,-,성수성수(내선)
20:06,20:01,-,21:54
성수성수(외선),성수성수(내선),-,신도림까치산
20:10,20:04,22:05,22:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
20:14,20:08,22:10,22:05
성수성수(외선),성수성수,성수성수,신도림까치산
20:18,20:09,22:18,22:09
성수성수(외선),신도림까치산,성수성수(외선),성수성수(내선)
20:25,20:11,22:25,22:15
성수성수(외선),성수성수(내선),성수성수(외선),신도림까치산
20:30,20:15,22:35,22:16
