뚝섬/용답방면,건대입구방면,뚝섬/용답방면,건대입구방면
17:12,17:19,18:55,
성수성수(외선),성수성수(내선),성수신설동,
17:12,17:24,18:58,
성수신설동,성수성수(내선),성수성수(외선),
17:15,17:27,19:04,19:00
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:21,17:30,19:05,19:06
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
17:24,17:35,19:09,19:11
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:24,17:37,19:15,19:17
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
17:27,17:41,19:16,19:22
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
17:30,17:44,19:20,19:28
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:33,17:47,19:25,19:33
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
17:35,17:51,19:26,19:39
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
17:37,17:55,19:32,19:44
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
17:41,17:58,19:36,19:50
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
17:44,,19:38,19:55
성수성수(외선),,성수성수(외선),성수성수(내선)
17:46,,19:44,
성수신설동,,성수성수(외선),
17:48,,19:46,
성수성수(외선),,성수신설동,
17:52,,19:50,
성수성수(외선),,성수성수(외선),
17:56,,19:56,
성수신설동,,성수성수(외선),
17:57,,19:57,
성수성수(외선),,성수신설동,
18:01,18:01,20:02,20:01
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:04,18:05,20:06,20:06
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
18:08,18:09,20:08,20:12
성수성수(외선),성수성수(내선),성수성수(외선),성수신도림
18:08,18:12,20:14,20:17
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
18:12,18:14,20:17,20:23
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
18:16,18:16,20:20,20:29
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:16,18:18,20:26,20:35
성수신설동,성수성수(내선),성수성수(외선),성수성수(내선)
18:20,18:21,20:27,20:41
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
18:23,18:25,20:32,20:46
성수성수,성수성수(내선),성수성수(외선),성수신도림
18:26,18:30,20:38,20:51
성수신설동,성수성수,성수성수(외선),성수성수(내선)
18:27,18:33,20:38,20:56
성수성수(외선),성수성수(내선),성수신설동,성수성수(내선)
18:31,18:36,20:44,
성수성수(외선),성수성수(내선),성수성수(외선),
18:33,18:39,20:47,
성수신설동,성수성수(내선),성수신설동,
18:35,18:42,20:50,
성수성수(외선),성수성수(내선),성수성수(외선),
18:39,18:45,20:56,
성수성수,성수성수,성수성수(외선),
18:40,18:49,20:58,
성수신설동,성수성수(내선),성수신설동,
18:42,18:54,21:02,21:02
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
18:46,18:57,21:08,21:08
성수신도림,성수성수(내선),성수성수,성수성수(내선)
18:47,,21:08,21:14
성수신설동,,성수신설동,성수신도림
18:50,,21:14,21:20
성수성수,,성수성수(외선),성수성수(내선)
18:54,,21:19,21:26
성수성수(외선),,성수신설동,성수성수(내선)
18:56,,21:20,21:32
성수신설동,,성수성수(외선),성수성수(내선)
18:57,,21:26,21:38
성수신도림,,성수성수(외선),성수성수(내선)
19:00,19:00,21:28,21:45
성수성수(외선),성수신도림,성수신설동,성수신도림
19:03,19:02,21:32,21:52
성수성수(외선),성수성수(내선),성수성수,성수성수(내선)
19:03,19:05,21:38,21:59
성수신설동,성수성수,성수성수(외선),성수신도림
19:07,19:07,21:39,
성수신도림,성수성수(내선),성수신설동,
19:10,19:11,21:44,
성수신설동,성수성수(내선),성수성수(외선),
19:11,19:14,21:49,
성수성수(외선),성수성수(내선),성수신설동,
19:14,19:18,21:50,
성수성수(외선),성수성수,성수신도림,
19:17,19:21,21:56,
성수신설동,성수성수(내선),성수성수(외선),
19:18,19:25,22:00,22:05
성수신도림,성수성수(내선),성수신설동,성수성수
19:22,19:28,22:02,22:12막
성수성수(외선),성수성수(내선),성수성수(외선),성수성수(내선)
19:26,19:31,22:08,22:20
성수신설동,성수성수,성수신도림,성수신도림
19:27,19:35,22:10,22:26
성수성수(외선),성수성수(내선),성수신설동,성수성수
19:31,19:39,22:14막,22:33막
성수성수(외선),성수성수(내선),성수성수(외선),성수성수
19:33,19:42,22:21,22:40
성수신설동,성수성수,성수성수,성수신도림
19:34,19:45,22:22,22:48막
성수성수(외선),성수성수(내선),성수신설동,성수을지로입구
19:38,19:48,22:27,22:56
성수성수(외선),성수신도림,성수성수,성수신도림
19:42,19:52,22:34막,
성수신도림,성수성수(내선),성수성수,
19:43,19:57,22:34,
성수신설동,성수성수,성수신설동,
19:46,,22:41,
성수성수(외선),,성수신도림,
19:51,,22:46,
성수성수(외선),,성수신설동,
19:52,,22:48막,
성수신설동,,성수삼성,
19:56,,22:55,
성수성수(외선),,성수신도림,
20:01,20:02,22:58,
성수성수(외선),성수성수(내선),성수신설동,
20:04,20:06,23:09,23:02막
성수신설동,성수신도림,성수신설동,성수홍대입구
20:06,20:09,23:10막,23:10막
성수성수(외선),성수성수(내선),성수서울대입구,성수신도림
20:13,20:13,23:18,23:21막
성수성수(외선),성수성수(내선),성수신도림,성수서울대입구
20:15,20:19,23:20,23:42막
성수신설동,성수성수(내선),성수신설동,성수삼성
20:23,20:24,23:24막,
성수성수(외선),성수성수(내선),성수신도림,
20:26,20:29,23:31,
성수신설동,성수성수(내선),성수신설동,
20:30,20:33,23:32막,
성수성수(외선),성수신도림,성수홍대입구,
20:35,20:37,23:41,
성수성수(외선),성수성수(내선),성수신설동,
20:35,20:41,23:42막,
성수신설동,성수성수(내선),성수을지로입구,
20:41,20:46,23:51막,
성수신도림,성수성수(내선),성수신설동,
20:44,20:51,,
성수신설동,성수성수(내선),,
20:45,20:55,,
성수성수(외선),성수성수,,
20:52,20:59,,
성수성수(외선),성수성수(내선),,
20:57,,,
성수성수(외선),,,
20:57,,,
성수신설동,,,
21:01,21:04,,
성수신도림,성수성수(내선),,
21:05,21:10,,
성수성수(외선),성수성수(내선),,
21:08,21:16,,
성수신설동,성수성수(내선),,
21:10,21:23,,
성수신도림,성수성수(내선),,
21:15,21:32,,
성수성수(외선),성수성수(내선),,
21:18,21:39,,
성수신설동,성수성수(내선),,
21:21,21:44,,
성수성수(외선),성수성수(내선),,
21:26,21:50,,
성수성수(외선),성수성수(내선),,
21:30,21:55,,
성수신설동,성수성수(내선),,
21:32,,,
성수성수(외선),,,
21:37,,,
성수성수(외선),,,
21:41,,,
성수신설동,,,
21:44,,,
성수성수(외선),,,
21:51,,,
성수신설동,,,
21:54,,,
성수성수(외선),,,
22:01,22:00,,
성수성수(외선),성수성수(내선),,
22:02,22:06,,
성수신설동,성수성수(내선),,
22:08,22:11,,
성수성수(외선),성수신도림,,
22:12,22:16,,
성수신설동,성수성수(내선),,
22:16,22:22,,
성수성수(외선),성수신도림,,
22:22,22:29,,
성수신도림,성수성수(내선),,
22:23,22:35,,
성수신설동,성수신도림,,
22:27,22:40,,
성수성수(외선),성수성수(내선),,
22:35,22:47,,
성수신설동,성수성수,,
22:36,22:54,,
성수성수(외선),성수성수(내선),,
22:44,,,
성수신설동,,,
22:45,,,
성수성수,,,
22:52,,,
성수성수(외선),,,
22:55,,,
성수신설동,,,
22:57,,,
성수신도림,,,
23:03,23:03,,
성수성수(외선),성수성수,,
23:06,23:09,,
성수신설동,성수신도림,,
23:08,23:14막,,
성수신도림,성수성수(내선),,
23:16막,23:20,,
성수성수(외선),성수신도림,,
23:16,23:25,,
성수신설동,성수성수,,
23:24,23:31막,,
성수신도림,성수성수,,
23:27,23:38,,
성수신설동,성수신도림,,
23:31막,23:47막,,
성수성수,성수을지로입구,,
23:38,23:59막,,
성수신도림,성수홍대입구,,
23:38,,,
성수신설동,,,
23:47막,,,
성수삼성,,,
23:50,,,
성수신설동,,,
23:57,,,
성수신도림,,,
0:04,00:11막,,
성수신설동,성수신도림,,
00:08막,00:24막,,
성수서울대입구,성수서울대입구,,
0:20,00:44막,,
성수신설동,성수삼성,,
00:22막,,,
성수신도림,,,
00:33막,,,
성수홍대입구,,,
0:35,,,
성수신설동,,,
00:45막,,,
성수을지로입구,,,
00:51막,,,
성수신설동,,,
